COD,NOME,�REA,CC,DATA,HORA
000000013,,,8110,31/01/2025,12:24
000000056,,,6914,29/01/2025,12:24
000000026,,,8115,30/01/2025,12:25
000000073,,,8115,31/01/2025,12:25
000000070,,,8114,29/01/2025,12:25
000000146,,,8121,29/01/2025,12:26
000000074,,,8115,29/01/2025,12:26
000000009,,,8115,29/01/2025,12:26
000000165,,,6910,30/01/2025,12:26
000000185,,,8115,31/01/2025,12:27
000000146,,,8121,30/01/2025,12:27
000000074,,,8115,30/01/2025,12:27
000000009,,,8115,30/01/2025,12:27
000000130,,,8115,30/01/2025,12:28
000000185,,,8115,30/01/2025,12:28
000000167,,,8115,30/01/2025,12:28
000000127,,,8114,29/01/2025,12:28
000000147,,,8121,31/01/2025,12:28
000000150,,,8115,31/01/2025,12:28
000000175,,,8114,30/01/2025,12:28
000000004,,,8114,31/01/2025,12:29
000000038,,,8115,31/01/2025,12:29
000000030,,,8110,30/01/2025,12:29
000000151,,,8103,31/01/2025,12:29
000000004,,,8114,29/01/2025,12:30
000000186,,,8115,29/01/2025,12:30
000000175,,,8114,29/01/2025,12:30
000000033,,,8115,31/01/2025,12:31
000000184,,,8115,31/01/2025,12:31
000000073,,,8115,31/01/2025,12:31
000000193,,,8121,31/01/2025,12:31
000000190,,,8121,30/01/2025,12:32
000000070,,,8115,31/01/2025,12:32
000000115,,,8121,31/01/2025,12:32
000000051,,,8115,31/01/2025,12:33
000000115,,,8115,30/01/2025,12:33
000000068,,,8115,29/01/2025,12:33
000000133,,,8115,29/01/2025,12:33
000000125,,,8115,31/01/2025,12:33
000000133,,,8115,30/01/2025,12:34
000000134,,,8115,31/01/2025,12:34
000000003,,,8115,29/01/2025,12:34
000000194,,,8121,30/01/2025,12:34
000000057,,,8115,31/01/2025,12:35
000000020,,,8114,31/01/2025,12:36
000000177,,,8114,31/01/2025,12:36
000000047,,,8115,31/01/2025,12:36
000000048,,,6515,29/01/2025,12:36
000000104,,,8115,31/01/2025,12:38
000000057,,,6914,31/01/2025,12:38
000000115,,,8115,31/01/2025,12:40
000000105,,,8115,29/01/2025,12:41
000000058,,,8115,31/01/2025,12:41
000000049,,,6515,30/01/2025,12:41
000000043,,,8121,30/01/2025,12:42
000000116,,,6515,30/01/2025,12:42
000000058,,,8115,30/01/2025,12:43
000000121,,,8114,30/01/2025,12:43
000000141,,,8115,30/01/2025,12:43
000000031,,,8114,30/01/2025,12:44
000000021,,,8114,30/01/2025,12:46
000000177,,,8114,30/01/2025,12:46
000000024,,,8115,30/01/2025,12:46
000000175,,,8114,31/01/2025,12:46
000000037,,,8114,29/01/2025,12:47
000000131,,,8115,31/01/2025,12:47
000000118,,,8115,31/01/2025,12:47
000000065,,,8115,30/01/2025,12:48
000000042,,,8115,30/01/2025,12:48
000000039,,,8115,30/01/2025,12:48
000000188,,,6915,30/01/2025,12:48
000000071,,,8115,30/01/2025,12:49
000000073,,,8115,30/01/2025,12:49
000000188,,,6915,31/01/2025,12:49
000000018,,,8115,30/01/2025,12:50
000000128,,,8114,30/01/2025,12:50
000000059,,,8115,30/01/2025,12:50
000000184,,,8115,30/01/2025,12:50
000000119,,,8115,30/01/2025,12:50
000000117,,,6515,29/01/2025,12:51
000000181,,,8121,30/01/2025,12:52
000000037,,,8114,31/01/2025,12:53
000000008,,,8515,29/01/2025,12:53
000000183,,,6515,30/01/2025,12:53
000000133,,,8115,31/01/2025,12:54
000000193,,,8114,29/01/2025,12:54
000000026,,,8115,29/01/2025,12:54
000000146,,,8115,29/01/2025,12:54
000000148,,,6515,30/01/2025,12:54
000000076,,,8103,30/01/2025,12:55
000000027,,,8115,31/01/2025,12:57
000000128,,,8114,31/01/2025,12:57
000000151,,,8115,31/01/2025,12:58
000000103,,,8110,31/01/2025,12:58
000000063,,,8115,30/01/2025,13:01
000000071,,,8115,29/01/2025,13:02
000000119,,,8115,29/01/2025,13:02
000000149,,,6515,29/01/2025,13:02
000000183,,,6515,29/01/2025,13:02
000000038,,,8114,30/01/2025,13:03
000000065,,,8115,31/01/2025,13:03
000000142,,,8115,29/01/2025,13:04
