,COD,NOME,ÁREA,C.C,DATA,HORA
35,1.0,,,8121,31/01/25,0 days 11:12:59.999000
36,129.258812089782,,,8115,31/01/25,0 days 11:12:59.999000
37,142.255651892067,,,8121,30/01/25,0 days 11:12:59.999000
38,62.1783485941172,,,8115,29/01/25,0 days 11:14:00.004000
39,16.0,,,8115,30/01/25,0 days 11:15:59.996000
40,191.72749372012,,,8114,31/01/25,0 days 11:17:59.997000
41,2.0,,,8114,31/01/25,0 days 11:17:59.997000
42,44.1504740296573,,,8115,30/01/25,0 days 11:19:59.998000
43,85.6565108175999,,,8114,30/01/25,0 days 11:19:59.998000
44,83.9794992302083,,,6914,31/01/25,0 days 11:19:59.998000
45,17.0,,,8121,29/01/25,0 days 11:21:00.003000
46,16.0,,,8115,29/01/25,0 days 11:21:00.003000
47,16.0,,,8115,31/01/25,0 days 11:21:00.003000
48,186.277206061097,,,8121,30/01/25,0 days 11:21:00.003000
49,186.696458957945,,,8121,31/01/25,0 days 11:21:59.999000
50,86.0757637144478,,,8114,29/01/25,0 days 11:21:59.999000
51,89.0105339923831,,,8121,31/01/25,0 days 11:24:00
52,2.0,,,8114,29/01/25,0 days 11:24:59.996000
53,86.4950166112957,,,6910,29/01/25,0 days 11:26:00.001000
54,17.0,,,8121,30/01/25,0 days 11:26:59.997000
55,84.3987521270562,,,6914,29/01/25,0 days 11:26:59.997000
56,89.429786889231,,,8121,30/01/25,0 days 11:28:00.002000
57,98.234097723037,,,8115,31/01/25,0 days 11:28:59.998000
58,98.6533506198849,,,8115,30/01/25,0 days 11:28:59.998000
59,83.1409934365125,,,8121,31/01/25,0 days 11:30:59.999000
60,80.2062231585771,,,8110,31/01/25,0 days 11:30:59.999000
61,29.0573697431327,,,8110,31/01/25,0 days 11:30:59.999000
62,31.992140021068,,,8114,29/01/25,0 days 11:32:00.004000
63,94.8800745482538,,,8121,31/01/25,0 days 11:32:00.004000
64,57.9858196256381,,,8115,29/01/25,0 days 11:32:00.004000
65,120.873754152824,,,8114,31/01/25,0 days 11:33:00
66,29.4766226399806,,,8110,29/01/25,0 days 11:33:00
67,91.1067984766227,,,8114,30/01/25,0 days 11:33:59.996000
68,168.668584393485,,,8515,30/01/25,0 days 11:35:00.001000
69,95.2993274451017,,,8121,30/01/25,0 days 11:35:59.997000
70,83.5602463333604,,,8121,30/01/25,0 days 11:37:00.002000
71,157.76800907544,,,8115,30/01/25,0 days 11:37:00.002000
72,92.3645571671664,,,8121,30/01/25,0 days 11:37:00.002000
73,23.187829187262,,,8115,30/01/25,0 days 11:37:00.002000
74,84.8180050239041,,,6914,30/01/25,0 days 11:37:00.002000
75,143.932663479459,,,6915,29/01/25,0 days 11:37:00.002000
76,92.7838100640143,,,8121,31/01/25,0 days 11:37:59.998000
77,104.942144072603,,,8115,31/01/25,0 days 11:39:00.003000
78,64.2746130783567,,,8115,31/01/25,0 days 11:39:59.999000
79,44.9889798233531,,,8115,31/01/25,0 days 11:39:59.999000
80,172.861113361964,,,6914,31/01/25,0 days 11:39:59.999000
81,86.9142695081436,,,6910,31/01/25,0 days 11:39:59.999000
82,2.0,,,8114,30/01/25,0 days 11:41:00.004000
83,125.904788914999,,,6911,30/01/25,0 days 11:41:00.004000
84,105.361396969451,,,8115,30/01/25,0 days 11:42:00
85,32.8306458147638,,,6914,30/01/25,0 days 11:42:00
86,80.625476055425,,,8110,30/01/25,0 days 11:42:59.996000
87,26.9611052588931,,,8106,30/01/25,0 days 11:42:59.996000
88,71.4019123247711,,,8114,31/01/25,0 days 11:44:00.001000
89,24.8648407746536,,,8115,30/01/25,0 days 11:44:59.997000
90,144.351916376307,,,6915,31/01/25,0 days 11:44:59.997000
91,181.246171298922,,,8121,30/01/25,0 days 11:46:00.002000
92,1.0,,,8121,30/01/25,0 days 11:46:59.998000
93,156.510250384896,,,8114,30/01/25,0 days 11:46:59.998000
94,169.087837290333,,,8515,29/01/25,0 days 11:46:59.998000
95,50.4392674823758,,,8115,29/01/25,0 days 11:48:00.003000
96,158.187261972287,,,8115,31/01/25,0 days 11:48:00.003000
97,177.892148124139,,,8121,29/01/25,0 days 11:48:00.003000
98,175.795883639899,,,8115,30/01/25,0 days 11:48:59.999000
99,23.6070820841099,,,8115,31/01/25,0 days 11:48:59.999000
100,81.8832347459687,,,8114,29/01/25,0 days 11:48:59.999000
101,181.66542419577,,,8121,29/01/25,0 days 11:48:59.999000
102,142.674904788915,,,8121,29/01/25,0 days 11:48:59.999000
103,137.224617129892,,,8121,29/01/25,0 days 11:48:59.999000
104,54.6317964508549,,,6515,30/01/25,0 days 11:48:59.999000
105,122.970018637063,,,6521,29/01/25,0 days 11:48:59.999000
106,176.215136536747,,,8115,29/01/25,0 days 11:50:00.004000
107,178.311401020987,,,8121,30/01/25,0 days 11:50:00.004000
108,130.516570780326,,,8115,30/01/25,0 days 11:50:00.004000
109,182.084677092618,,,8121,29/01/25,0 days 11:50:00.004000
110,137.64387002674,,,8121,30/01/25,0 days 11:50:00.004000
111,138.063122923588,,,8121,30/01/25,0 days 11:50:00.004000
112,126.324041811847,,,6911,31/01/25,0 days 11:50:00.004000
113,123.389271533911,,,6521,30/01/25,0 days 11:50:00.004000
114,81.0447289522729,,,8115,30/01/25,0 days 11:51:00
115,166.991572806093,,,8115,31/01/25,0 days 11:51:00
116,179.569159711531,,,8115,30/01/25,0 days 11:51:00
117,109.973178834778,,,8515,29/01/25,0 days 11:51:00
118,55.0510493477028,,,6515,29/01/25,0 days 11:51:00
119,51.6970261729195,,,6510,29/01/25,0 days 11:51:00
120,81.4639818491208,,,8115,31/01/25,0 days 11:51:59.996000
121,153.156227210113,,,8103,30/01/25,0 days 11:51:59.996000
122,99.9111093104287,,,6911,31/01/25,0 days 11:51:59.996000
123,179.988412608378,,,8115,31/01/25,0 days 11:53:00.001000
124,151.898468519569,,,8111,29/01/25,0 days 11:53:00.001000
125,117.100478081193,,,8111,29/01/25,0 days 11:53:00.001000
126,117.519730978041,,,8111,31/01/25,0 days 11:53:00.001000
127,162.379790940766,,,8111,29/01/25,0 days 11:53:00.001000
